volume,page,mission.number,type,church,city,state,start.date,end.date,communion.general,converts,under.instruction,diocese,communion.adults,communion.children,communion.men,communion.women,order,notes,converts.adult,converts.children,location,confirmed,pledges
4,52,,mission,St. Rose's Church,Chelsea,MA,9/8/1889,9/23/1889,4006,2,,,,,2302,1704,,,,,,180,
4,55,,mission,St. Peter's Church,Belleville,NJ,9/15/1889,9/22/1889,1205,,,,,,,,,,,,,,
4,56,,mission,,Irvington,NJ,9/22/1889,9/26/1889,300,,,,,,,,,,,,,,
4,58,,mission,,Tarrytown,NY,9/29/1889,10/6/1889,1277,,,,,,,,,,,,,,600
4,60,,mission,St. Mary's Church,Ticonderoga,NY,9/30/1889,10/6/1889,475,,,,,,,,,,,,,,
4,61,,mission,St. Augustine's Church,Sing Sing,NY,10/6/1889,10/13/1889,1493,,,,,,,,,,,,,,500
4,62,,mission,St. Bernard's Church,Rockville,CT,10/20/1889,11/3/1889,2004,1,,,,,,,,,,,,,
4,64,,mission,St. John's Church,Concord,MA,9/29/1889,10/7/1889,1665,,1,,,,,,,,,,,216,
4,66,,mission,St. James's Church,Boston,MA,10/13/1889,11/10/1889,8200,,,,,,3550,4650,,,,,,150,2200
4,69,,mission,Church of the Assumption,Evansville,IN,10/13/1889,10/21/1889,700,,,,,,,,,,,,,,
4,73,,mission,Church of St. Lawrence,Muncie,IN,10/27/1889,11/3/1889,2125,3,3,,,,,,,,,,,,
4,77,,mission,St. Paul's Church,Noblesville,IN,11/10/1889,11/17/1889,83,,,,,,,,,,,,,,
4,81,,mission,St. Mary's Church,Anderson,IN,11/17/1889,11/22/1889,525,6,,,,,,,,,,,,,120
4,83,,mission,,North Warren,MA,11/17/1889,11/25/1889,1450,,,,,,,,,,,,,,
4,85,,mission,St. Mary's Church,Charlestown,MA,11/17/1889,12/1/1889,4466,,,,,675,1680,2100,,,,,,70,1600
4,87,,mission,St. Patrick's Church,Washington,DC,12/1/1889,12/10/1889,1250,5,,,,,,,,,,,,,
4,90,,mission,St. Agnes's Church,Pittsburgh,PA,1/1/1890,1/19/1890,2720,3,,,,450,1070,1200,,,,,,,
4,93,,mission,,Rye,NY,11/10/1889,11/17/1889,450,,,,,,,,,,,,,,
4,94,,mission,Church of the Transfiguration,Brooklyn,NY,12/8/1889,12/22/1889,2972,,,,,,,,,,,,,,
4,96,,mission,Church of St. Rose of Lima,New York,NY,1/5/1890,1/19/1890,4192,5,,,,450,1840,1902,,,,,,,1450
4,98,,mission,St. Mary's Church,Genesee,NY,1/26/1890,2/2/1890,535,,3,,,,,,,,,,,,
4,99,,mission,St. Patrick's Church,Augusta,GA,1/12/1890,1/26/1890,1235,1,,,,,,,,,,,,,
4,102,,mission,,Washington,GA,1/26/1890,1/26/1890,150,,,,,,,,,,,,,,
4,103,,mission,St. Joseph's Church,Springfield,IL,1/26/1890,2/2/1890,930,3,,,,,,,,,,,,,
4,105,,mission,Church of the Immaculate Conception,Springfield,IL,2/2/1890,2/11/1890,2900,2,,,,,,,,,,,,,
4,108,,mission,Cathedral of Our Lady of Perpetual Help,Savannah,GA,2/2/1890,2/16/1890,2343,3,,,,,,,,,,,,,
